,name,information,totalprice,unitprice
79,桂芳园四期96.68平东南向的四房,4室2厅 | 96.68平米 | 东南 | 简装 | 中楼层(共11层) | 2002年建 | 板塔结合,3880000,40133
80,7栋精装四房含私家车位 采光通风佳 业主诚心出售,4室2厅 | 164.2平米 | 东南 | 精装 | 高楼层(共17层) | 2003年建 | 板塔结合,8680000,52863
81,凤凰花苑东南朝向精装修两换三满五唯一红本在手,3室2厅 | 78.87平米 | 东南 南 | 精装 | 低楼层(共26层) | 2012年建 | 板塔结合,3800000,48181
82,海富花园，全天24小时安保，户型方正适合居家大两房,2室1厅 | 72.54平米 | 东北 | 简装 | 中楼层(共32层) | 1991年建 | 板塔结合,3250000,44803
83,奇数层，阳台大，百变户型，可以做2+1户型,2室1厅 | 65.22平米 | 东北 | 精装 | 中楼层(共16层) | 2008年建 | 板塔结合,7100000,108863
84,成熟地段大东城3房高拓展 南北通 住家舒适配套成熟,3室2厅 | 80.99平米 | 南 | 毛坯 | 低楼层(共31层) | 2012年建 | 板楼,3500000,43216
85,深房传麒尚林 3室1厅 320万,3室1厅 | 87.96平米 | 南 | 精装 | 中楼层(共33层) | 2014年建 | 塔楼,3200000,36381
86,业主自住的，诚心出售，看房方便,3室1厅 | 89.4平米 | 南 | 简装 | 低楼层(共11层) | 2002年建 | 板楼,4300000,48099
87,装修很好，都是品牌家具，冷色调的装修风格,3室2厅 | 83.3平米 | 东南 | 精装 | 中楼层(共33层) | 2016年建 | 板塔结合,4500000,54022
88,标准三房，高楼层，视野，通风采光都很好，户型朝南向,3室1厅 | 110平米 | 南 | 精装 | 高楼层(共16层) | 2008年建 | 塔楼,6200000,56364
89,南油商圈物业满五年首套免个税 一手业主 交易方便快捷,3室2厅 | 98.44平米 | 西南 | 精装 | 低楼层(共28层) | 1993年建 | 板塔结合,5200000,52825
90,宝安宝体 福中福中间楼层 标准两房,2室1厅 | 65.24平米 | 西南 | 精装 | 中楼层(共7层) | 2002年建 | 板楼,4350000,66677
91,桂芳园六期 带空中花园 满5年 朝南安静舒适,4室2厅 | 94.26平米 | 东南 | 精装 | 中楼层(共21层) | 2004年建 | 板塔结合,4300000,45619
92,地铁口 精装修三房 户型方正 带私家车位,3室2厅 | 93.02平米 | 北 | 精装 | 中楼层(共10层) | 2002年建 | 塔楼,5100000,54827
93,地铁口物业 信和自由广场 满五年红本 户型方正小两房,2室1厅 | 50.77平米 | 东 | 简装 | 高楼层(共26层) | 2006年建 | 塔楼,4500000,88636
94,地铁口岸物业，户型方正实用，视野景观。,2室2厅 | 70.66平米 | 东南 | 精装 | 中楼层(共18层) | 2001年建 | 板塔结合,4680000,66233
95,精装大四房，满五唯一，业主急卖！,4室2厅 | 126.64平米 | 西南 | 精装 | 低楼层(共31层)  | 板塔结合,6200000,48958
96,庐峰南向，南向，南向 大三房，精装修,3室2厅 | 109.52平米 | 西南 | 精装 | 中楼层(共16层) | 1999年建 | 板塔结合,7200000,65742
97,水榭三期精装3房，高层东南向，满五唯一，拎包入住,3室2厅 | 89.42平米 | 东南 | 精装 | 中楼层(共33层) | 2011年建 | 塔楼,7300000,81638
98,乐城荷康花园 精装两房可弄三房 东南朝向 次新小区,2室2厅 | 79平米 | 东南 | 精装 | 高楼层(共33层) | 2015年建 | 塔楼,3350000,42406
99,城市主场精装修总价低，业主诚心卖看房方便,1室0厅 | 34.9平米 | 西南 | 精装 | 低楼层(共33层) | 2005年建 | 板塔结合,3100000,88826
100,科技旁 自主一房一厅 视野好 通风好  拎包入住,1室1厅 | 44.9平米 | 北 | 精装 | 低楼层(共30层) | 2004年建 | 塔楼,3750000,83519
101,2号线黄贝岭地铁口50米凤凰印象 精装2房满5年税少,2室1厅 | 62.43平米 | 东北 | 精装 | 中楼层(共31层) | 2011年建 | 塔楼,4450000,71280
102,众孚大厦 2室2厅 490万,2室2厅 | 78平米 | 南 | 简装 | 中楼层(共25层) | 2002年建 | 板塔结合,4900000,62821
103,红本在手，正南向，采光好，桃园南山双地铁口！,2室2厅 | 80.26平米 | 南 | 精装 | 低楼层(共18层) | 2003年建 | 塔楼,5100000,63544
104,懿花园正出阳台，看山看湖，景观优美，无遮挡,3室2厅 | 89.18平米 | 北 | 精装 | 中楼层(共10层) | 2013年建 | 板塔结合,4450000,49900
105,蛇口复式3房2卫，满5唯一，2014年社区,3室1厅 | 86.2平米 | 西南 东北 | 精装 | 低楼层(共34层) | 2014年建 | 塔楼,6100000,70766
106,求水山下实用朝南两房满五年红本税费装修保养好,2室1厅 | 68.25平米 | 南 | 精装 | 高楼层(共11层) | 2004年建 | 塔楼,2800000,41026
107,来福士商圈小三房 满五唯一 红本在手 诚心出售！！！,3室1厅 | 78.26平米 | 东南 | 精装 | 高楼层(共26层) | 2002年建 | 板塔结合,5900000,75390
108,金地名津 2室1厅 405万,2室1厅 | 60.83平米 | 东南 | 精装 | 低楼层(共32层) | 2007年建 | 板塔结合,4050000,66579
109,信和 后海商圈  满5V1 高楼层 客厅带阳台 安静海景房,2室1厅 | 68.55平米 | 东南 东北 | 简装 | 中楼层(共29层) | 2006年建 | 塔楼,5800000,84610
110,金地龙城 精装修 2+1房， 视野通风好 享万科配套,2室1厅 | 68.87平米 | 西南 | 精装 | 中楼层(共34层) | 2016年建 | 板塔结合,1780000,25846
111,东南向看公园全景，满五唯一红本在手，省心省事,4室2厅 | 136.94平米 | 东南 | 精装 | 中楼层(共25层) | 2000年建 | 板塔结合,11000000,80328
112,罗湖次新房 地铁物业 带30万装修 可拎包入住,2室2厅 | 68.69平米 | 西南 | 精装 | 中楼层(共32层) | 2017年建 | 板楼,4050000,58961
113,2015年入伙，朝南向，动静区分离，户型方正的三房。,3室1厅 | 100.08平米 | 南 | 精装 | 低楼层(共39层) | 2014年建 | 板塔结合,14280000,142686
114,可园方正大三房，厅出大阳台，业主诚心出售,3室2厅 | 104平米 | 北 | 精装 | 高楼层(共23层) | 2007年建 | 板楼,4700000,45193
115,双口岸物业 高层正方形的一房一厅，满五唯一红本在手,1室1厅 | 38.67平米 | 东北 | 精装 | 中楼层(共33层) | 2005年建 | 板塔结合,2100000,54306
116,大三房视野好，超大入户，满五年税费少,3室2厅 | 110.1平米 | 南 | 简装 | 高楼层(共18层) | 2006年建 | 板楼,6790000,61672
117,盛世鹏程 满五唯一 楼层高 采光好 红本在手 税费少,4室1厅 | 94.89平米 | 东南 | 简装 | 高楼层(共32层) | 2005年建 | 板塔结合,8500000,89578
118,大运新城，地理位置优越，交通便利，生活设施完善。,3室2厅 | 86.19平米 | 东南 | 简装 | 高楼层(共33层) | 2009年建 | 塔楼,3780000,43857
119,鸿荣源尚峰 3室2厅 480万,3室2厅 | 79.01平米 | 东南 | 简装 | 低楼层(共32层) | 2016年建 | 塔楼,4800000,60752
120,西岸观邸 4室2厅 1180万,4室2厅 | 94.54平米 | 南 | 精装 | 高楼层(共28层) | 2007年建 | 板塔结合,11800000,124815
121,户型优质，南北通，高层安静看海，厅出大阳台,3室1厅 | 267.37平米 | 南 北 | 精装 | 高楼层(共31层) | 2006年建 | 板楼,43000000,160826
122,房满2年，户型方正，楼层低，花园中间,2室1厅 | 49.5平米 | 南 | 简装 | 低楼层(共6层) | 2006年建 | 板楼,1450000,29293
123,园岭本部，一楼带院子，四房，满两年,4室2厅 | 76.4平米 | 东 南 北 | 简装 | 低楼层(共7层) | 1984年建 | 板楼,8200000,107330
124,景田地铁口 莲花山旁 朝南安静两房 满五年唯一 诚售,2室1厅 | 61.64平米 | 南 | 精装 | 低楼层(共26层) | 2008年建 | 板塔结合,4780000,77548
125,深华园南山区 3室2厅 380万,3室2厅 | 56.08平米 | 南 | 精装 | 中楼层(共8层) | 1994年建 | 塔楼,3800000,67761
126,云顶翠峰  福田区 安静舒适社区 业主诚心出售,3室2厅 | 234.03平米 | 南 | 简装 | 中楼层(共31层) | 2003年建 | 板塔结合,15300000,65377
127,锦绣花园一期 4室2厅 950万,4室2厅 | 120平米 | 南 | 精装 | 高楼层(共33层) | 1998年建 | 板塔结合,9500000,79167
128,景丽花园大三房，厅出阳台，安静舒适,3室2厅 | 102.61平米 | 南 北 | 简装 | 高楼层(共7层) | 1996年建 | 板塔结合,5100000,49703
129,高层安静  南向  满五年唯一 少税 地铁口物业,3室1厅 | 103.52平米 | 南 | 简装 | 高楼层(共17层) | 1999年建 | 塔楼,6150000,59409
130,房子满五年 税费少 双阳台 装修保养好 阳台看花园,3室2厅 | 112.8平米 | 东 西 | 精装 | 低楼层(共6层) | 2002年建 | 板楼,3800000,33688
131,深业三加一房看海景 看房方便。,4室2厅 | 122.45平米 | 西南 | 精装 | 高楼层(共25层) | 2005年建 | 塔楼,11100000,90650
132,德意名居 花园式小户型 满五年 税费少,1室0厅 | 31.68平米 | 北 | 简装 | 中楼层(共5层) | 2010年建 | 板塔结合,2300000,72602
133,万科地铁口物业  精装三房 楼层好 采光好 诚心出售,3室1厅 | 89.12平米 | 西南 | 精装 | 低楼层(共30层) | 2015年建 | 塔楼,4500000,50494
134,中海康城，大运片区，大三房，坐稳CBD.,3室1厅 | 87.26平米 | 西南 | 精装 | 高楼层(共30层) | 2011年建 | 塔楼,3500000,40111
135,精装修，满五唯一税费少，朝南看花园安静 业主急卖,3室1厅 | 75.64平米 | 东南 | 精装 | 高楼层(共33层) | 2012年建 | 板塔结合,2260000,29879
136,景园大厦，蛇口四海公园旁，满五年红本在手，业主诚售,3室2厅 | 113.68平米 | 北 | 简装 | 中楼层(共32层) | 1996年建 | 塔楼,7100000,62457
137,电梯南向大三室，成龙花园，满五年红本，随时可看,3室1厅 | 118.13平米 | 东南 | 简装 | 中楼层(共16层) | 2003年建 | 板塔结合,4050000,34285
138,东边一区 精装修可拎包入住 安静 户型方正 南向三房,3室2厅 | 88.79平米 | 东南 南 | 精装 | 低楼层(共18层) | 1999年建 | 板塔结合,7300000,82217
139,满五唯一 毛坯 东南朝向 带入户花园,4室2厅 | 129.75平米 | 东南 | 毛坯 | 低楼层(共31层) | 2012年建 | 板塔结合,8500000,65511
140,红山片区 上塘地铁口 潜龙曼海宁 实用三房 业主诚售,3室1厅 | 83.79平米 | 东南 | 精装 | 中楼层(共28层) | 2013年建 | 板塔结合,6000000,71608
141,客厅出阳台，户型方正，地段好，采光充足，配套齐。,3室2厅 | 122.43平米 | 东南 | 精装 | 中楼层(共33层) | 2004年建 | 塔楼,7500000,61260
142,桃源居十七区 5室2厅 680万,5室2厅 | 157.7平米 | 南 北 | 精装 | 中楼层(共18层) | 2006年建 | 板塔结合,6800000,43120
143,珠光地铁口，龙辉花园三房，税费低，看房方便。,3室1厅 | 88平米 | 南 | 精装 | 高楼层(共7层) | 2003年建 | 板楼,5400000,61364
144,楼层高，户型方正，采光通风都是不错的。,3室1厅 | 103.45平米 | 西南 | 精装 | 高楼层(共31层) | 2004年建 | 板塔结合,8300000,80232
145,5号线塘朗站 宝能城二期F栋 视野开阔 景观好 诚意出售,3室2厅 | 88.57平米 | 西南 | 精装 | 中楼层(共45层) | 2017年建 | 塔楼,10600000,119680
146,实用三房两卫大阳台红本满五两梯三户采光足视野好安静,3室2厅 | 86.59平米 | 北 | 精装 | 中楼层(共17层) | 2006年建 | 板塔结合,4450000,51392
147,东埔海景花园二期 海边舒适 大社区刚需盘,3室1厅 | 94.06平米 | 西南 | 精装 | 低楼层(共16层) | 2003年建 | 板塔结合,5100000,54221
148,新一代 中等楼层 满两年 东北向户型方正 安静不吵,1室1厅 | 36.19平米 | 北 | 精装 | 低楼层(共31层) | 2004年建 | 塔楼,2950000,81515
149,云顶嘉园 高层 通风采光好 业主诚心出售 看房方便,1室1厅 | 47.04平米 | 西南 | 精装 | 中楼层(共32层) | 2011年建 | 塔楼,3180000,67603
150,城市花园 3室2厅 345万,3室2厅 | 91平米 | 南 | 简装 | 中楼层(共8层) | 1998年建 | 板塔结合,3450000,37913
151,榆园小区精装3房 满五唯一 诚心出售,3室2厅 | 87.64平米 | 南 | 精装 | 高楼层(共7层) | 1999年建 | 板塔结合,6300000,71885
152,黄金大厦 3室2厅 500万,3室2厅 | 79.41平米 | 东南 | 精装 | 中楼层(共32层) | 2011年建 | 塔楼,5000000,62965
153,御龙居 3室2厅 706万,3室2厅 | 133平米 | 东南 | 精装 | 低楼层(共17层) | 2004年建 | 板塔结合,7060000,53083
154,溪山三房正南朝向，大厨房，精装修，税费少。,3室2厅 | 86.99平米 | 东南 南 | 精装 | 中楼层(共29层) | 2009年建 | 板塔结合,5800000,66675
155,信义二期博雅园，大三房，满五年，红本在手,3室1厅 | 89.66平米 | 西南 | 简装 | 中楼层(共11层) | 2003年建 | 塔楼,4000000,44613
156,新一代经典户型，户型方正安静不吵，业主诚心出售。,1室1厅 | 37.71平米 | 西北 | 简装 | 低楼层(共31层) | 2004年建 | 塔楼,3100000,82207
157,南二外本部，观海台3房2卫，南北通透安静看花园,3室2厅 | 119.35平米 | 南 北 | 精装 | 中楼层(共18层) | 2003年建 | 板塔结合,16800000,140763
158,东方凤雅台 2室2厅 338万,2室2厅 | 63.75平米 | 南 | 精装 | 中楼层(共9层) | 2003年建 | 板楼,3380000,53020
159,此房是满五，正规的三房两卫户型，东南向，视野很好,3室1厅 | 94.97平米 | 南 | 其他 | 中楼层(共26层) | 2002年建 | 板塔结合,6980000,73497
160,万象天成  满五年税少 厅出阳台 东南向 看花园安静,2室1厅 | 69.82平米 | 东南 | 简装 | 中楼层(共26层) | 2010年建 | 塔楼,2400000,34375
161,郁金香家园 3室1厅 719万,3室1厅 | 95.1平米 | 北 | 精装 | 高楼层(共11层) | 2005年建 | 板楼,7190000,75605
162,西南向看花园，正规两房景观好安静户型方正适合居家,2室1厅 | 58.62平米 | 南 北 | 精装 | 低楼层(共20层) | 2011年建 | 板塔结合,5500000,93825
163,奥林华府 85.31平2+1房 满2年 厅出阳台 朝东南,3室1厅 | 85.31平米 | 东南 | 精装 | 低楼层(共29层) | 2010年建 | 塔楼,5300000,62127
164,深圳北红山商圈使用空间大2房出售,2室1厅 | 75平米 | 东南 | 简装 | 中楼层(共11层) | 2007年建 | 板塔结合,4550000,60667
165,此房满两年税费少，万象城商圈配套完善,1室1厅 | 57.15平米 | 南 | 精装 | 中楼层(共41层) | 2005年建 | 板塔结合,2600000,45495
166,高层少有朝南原始小三房户型费用少诚心卖看房方便,2室1厅 | 79.38平米 | 南 | 精装 | 高楼层(共30层) | 2000年建 | 板塔结合,4600000,57950
167,口岸文锦地铁口，南向精装两房视野好，业主诚意卖,2室1厅 | 67.72平米 | 东南 | 精装 | 低楼层(共28层) | 2004年建 | 板塔结合,3690000,54490
168,莲馨家园三房，靠山安静，2017年新房，看了就喜欢,3室1厅 | 89.72平米 | 南 | 精装 | 中楼层(共34层) | 2016年建 | 板楼,5650000,62974
169,一期中间安静位置 采光无遮挡 诚心出售,3室1厅 | 71.44平米 | 东北 | 简装 | 高楼层(共7层) | 1997年建 | 塔楼,4700000,65790
