,0,1,2
109,4270023,['129.00'],7.3万+
110,100010984606,['699.00'],7.3万+
111,100006092217,['1399.00'],7.4万+
112,100003893839,['4559.00'],7.9万+
113,100000481323,['9098.00'],7.2万+
114,4034064,['299.00'],7.1万+
115,100006092221,['899.00'],7万+
116,4526055,['99.00'],7.1万+
117,29206267845,['539.00'],7万+
118,100001214519,['79.00'],7万+
119,100005413813,['999.00'],7.1万+
120,100002830215,['5987.00'],7万+
121,100005476695,['5488.00'],7万+
122,100005087998,['2299.00'],6.9万+
123,100003140359,['1599.00'],6.9万+
124,3315699,['169.00'],6.3万+
125,100009153612,['419.00'],6.3万+
126,2321960,['399.00'],6.3万+
127,100003484294,['4899.00'],6.1万+
128,100003946087,['3499.00'],6.1万+
129,1202626888,['208.00'],6.1万+
130,4270047,['129.00'],42万+
131,100005297522,['129.00'],42万+
132,4270025,['129.00'],42万+
133,100006808184,['3499.00'],5.8万+
134,7701235,['1299.00'],5.8万+
135,100008630664,['3799.00'],6万+
136,28331229416,['429.00'],5.6万+
137,25321808903,['169.00'],5.5万+
138,3860259,['229.00'],5.5万+
139,15196289452,['129.00'],5.5万+
140,100001491565,['99.00'],5.5万+
141,100006092223,['999.00'],5.4万+
142,28245104630,['1149.00'],5.4万+
143,100010984576,['899.00'],5.4万+
144,1754478138,['209.00'],5.3万+
145,100010984592,['1199.00'],5.4万+
146,100001548591,['2099.00'],5.3万+
147,42450961750,['2298.00'],4.2万+
148,100000481301,['9098.00'],5.2万+
149,11794447957,['6899.00'],5.1万+
150,100003525722,['5299.00'],5.1万+
151,100010821268,['599.00'],5.1万+
152,28314929287,['409.00'],5.1万+
153,100004472606,['5487.00'],5万+
154,5619586,['169.00'],5万+
155,6099504,['258.00'],5万+
156,100005207373,['1099.00'],5.4万+
157,100000481329,['10498.00'],4.8万+
158,100004472580,['5987.00'],4.8万+
159,100000469432,['10498.00'],4.8万+
160,100004472560,['4437.00'],4.7万+
161,6513853,['139.00'],4.7万+
162,100003466743,['1499.00'],4.6万+
163,100010984608,['699.00'],4.7万+
164,100004363706,['1898.00'],4.5万+
165,100002624532,['338.00'],4.4万+
166,47847154003,['1298.00'],4.3万+
167,49434407773,['1498.00'],4.3万+
168,100002092243,['198.00'],4.3万+
169,16580586466,['4188.00'],4.2万+
170,100010338198,['1699.00'],4.9万+
171,100001897804,['1349.00'],4.1万+
172,100010984604,['1399.00'],4.2万+
173,100010984602,['1399.00'],4.2万+
174,5534017,['149.00'],4万+
175,100004472602,['5487.00'],4.1万+
176,55666912716,['5799.00'],4.1万+
177,4526053,['99.00'],4万+
178,100000856861,['2399.00'],4万+
179,32943301525,['4878.00'],4万+
180,100003982266,['1199.00'],3.9万+
181,100003599639,['1499.00'],3.9万+
182,100000481327,['10498.00'],3.9万+
183,100000230600,['279.00'],3.9万+
184,100009963216,['4299.00'],3.9万+
185,100003784331,['2599.00'],3.8万+
186,46097761138,['1799.00'],3.8万+
187,100007540208,['1998.00'],3.8万+
188,100006092215,['1199.00'],3.8万+
189,6035594,['99.00'],3.6万+
190,6009104,['199.00'],3.5万+
191,100005088618,['3699.00'],3.5万+
192,19580485046,['158.00'],3.5万+
193,100007765494,['2989.00'],3.4万+
194,100006092213,['1199.00'],3.4万+
195,100001815309,['898.00'],3.4万+
196,57143334652,['5838.00'],3.3万+
197,44048919346,['4829.00'],3.3万+
198,100003603159,['599.00'],3.2万+
199,100003242113,['279.00'],3.2万+
200,100005290379,['4098.00'],3.8万+
201,28751842981,['1499.00'],3.1万+
202,16580070299,['3298.00'],3.1万+
203,47716923934,['1799.00'],3.1万+
204,100007381674,['7999.00'],3.1万+
205,100010984590,['1099.00'],3万+
206,100009768866,['119.00'],3万+
207,8184520,['119.00'],2.9万+
208,100005805803,['3799.00'],3.4万+
209,31356761712,['109.00'],2.9万+
210,100010260254,['3899.00'],3.2万+
211,100006092219,['1099.00'],2.8万+
212,100004418727,['2999.00'],2.9万+
213,28502299809,['418.00'],2.8万+
214,100000695447,['288.00'],2.8万+
215,100010984580,['1099.00'],2.8万+
216,100005379135,['2799.00'],3万+
217,100003598763,['1499.00'],2.8万+
218,100001860763,['279.00'],2.8万+
219,29044581674,['409.00'],2.7万+
220,20278459456,['198.00'],2.7万+
221,11049830052,['279.00'],2.7万+
222,100004472570,['4937.00'],2.7万+
223,100009759774,['4488.00'],2.7万+
224,100007698328,['2199.00'],2.7万+
225,16579783384,['3328.00'],2.6万+
226,62556059198,['540.00'],2.6万+
227,100010260230,['3299.00'],2.8万+
228,5237558,['499.00'],2.5万+
229,4595955,['1747.00'],2.5万+
230,7437382,['299.00'],2.5万+
231,31868566477,['939.00'],2.4万+
232,100009081548,['799.00'],2.6万+
233,100009177390,['1199.00'],2.6万+
234,100009236032,['239.00'],2.4万+
235,100004839783,['1899.00'],2.4万+
236,100005312743,['1998.00'],2.4万+
237,6598139,['149.00'],2.4万+
238,100009349612,['159.00'],4100+
239,100003138763,['1899.00'],2.4万+
240,16234690598,['89.00'],2.3万+
241,100004850586,['99.00'],2.3万+
242,100002968149,['149.00'],2.3万+
243,100003291843,['228.00'],2.3万+
244,100002755653,['168.00'],2.3万+
245,8342914,['59.00'],2.3万+
246,100004861771,['1899.00'],2.3万+
247,100010421226,['1998.00'],2.3万+
248,3243456,['229.00'],2.2万+
249,100010402146,['5499.00'],2.2万+
250,100009165106,['1099.00'],2.3万+
251,57167418584,['899.00'],2.2万+
252,24622881484,['139.00'],2.2万+
253,40223161444,['699.00'],2.1万+
254,32249341318,['899.00'],2.1万+
255,42828678309,['399.00'],2.1万+
256,100007411182,['226.00'],2.1万+
257,54620925454,['1648.00'],2.1万+
258,56869949438,['139.00'],2.1万+
259,7407136,['548.00'],2万+
260,100009347356,['2169.00'],2.1万+
261,100007988988,['4998.00'],2万+
262,37302116874,['868.00'],2万+
263,29445555175,['299.00'],2万+
264,25722468892,['109.00'],2万+
265,31931188377,['119.00'],2万+
266,34746463146,['339.00'],1.9万+
267,100005205683,['1199.00'],2万+
268,100008578480,['4599.00'],2万+
269,28315625180,['409.00'],1.9万+
270,44076405947,['4488.00'],1.9万+
271,40230014021,['699.00'],1.9万+
272,40467502857,['699.00'],1.9万+
273,11491676217,['129.00'],1.9万+
274,56128260981,['5668.00'],1.9万+
275,100008339420,['4899.00'],1.9万+
276,8797292,['129.00'],1.9万+
277,100002852230,['459.00'],1.9万+
278,18022453710,['68.00'],1.9万+
279,11718064762,['299.00'],1.8万+
280,33577099057,['299.00'],1.8万+
281,32942468232,['5788.00'],1.8万+
282,100005223665,['3299.00'],1.9万+
283,100003258299,['2098.00'],1.8万+
284,100005208993,['1999.00'],1.9万+
285,100005207839,['2599.00'],1.9万+
286,12834488620,['168.00'],1.8万+
287,42291088113,['805.00'],1.8万+
288,11728376529,['2758.00'],1.8万+
289,100010880942,['1097.00'],1.8万+
290,5239147,['199.00'],1.7万+
291,28637462909,['129.00'],1.7万+
292,4364829,['99.00'],2.7万+
293,100005156963,['5029.00'],1.7万+
294,18669652312,['1399.00'],1.7万+
295,100005253611,[],1.9万+
296,3503484,['258.00'],1.7万+
297,100002338246,['3398.00'],1.7万+
298,34600955827,['768.00'],1.7万+
299,100009759768,['3688.00'],1.7万+
300,100005297506,['279.00'],1.6万+
301,34639201721,['4589.00'],1.6万+
302,16579563286,['4228.00'],1.6万+
303,11297488460,['355.00'],1.6万+
304,26298974349,['135.00'],1.6万+
305,100003313381,['498.00'],1.6万+
306,100005244099,['3199.00'],1.6万+
307,100010421210,['1298.00'],1.6万+
308,100004015285,['299.00'],1.6万+
309,62602906391,['4895.00'],1.6万+
310,44125313215,['3678.00'],1.6万+
311,100008350186,['89.00'],6700+
312,100008037476,['998.00'],1.5万+
313,23928557015,['268.00'],1.5万+
314,43758662403,['3688.00'],1.5万+
315,100000384301,['1699.00'],1.5万+
316,100006583708,['3599.00'],1.5万+
317,32500882687,['899.00'],1.5万+
318,100001686260,['1169.00'],1.5万+
319,56605709689,['4788.00'],1.5万+
320,47364741396,['268.00'],1.5万+
321,50633925625,['1898.00'],1.5万+
322,30541887693,['138.00'],1.5万+
323,100003923771,['168.00'],1.5万+
324,37049701952,['89.00'],1.5万+
325,100007617010,['169.00'],1.5万+
326,100009768864,['119.00'],1.4万+
327,100009480378,['89.00'],1.4万+
328,100007256030,['2999.00'],1.4万+
329,100009177412,['1399.00'],1.5万+
330,55370143413,['5159.00'],1.4万+
331,45188355452,['999.60'],1.4万+
332,100004472594,['5487.00'],1.4万+
333,100001768443,['108.00'],1.4万+
334,47778453675,['99.00'],1.3万+
335,40784838666,['618.00'],1.4万+
336,44019324194,['4488.00'],1.3万+
337,6425157,['168.00'],1.3万+
338,51924606168,['2498.00'],1.3万+
339,100008531822,['1599.00'],1.3万+
340,4526057,['99.00'],4.5万+
341,44123850696,['4478.00'],1.3万+
342,8396457,['119.00'],1.3万+
343,39215375204,['1258.00'],1.3万+
344,100010900436,[],1.4万+
345,18109533850,['849.00'],1.3万+
346,27490512883,['129.00'],1.3万+
347,100009083140,['2999.00'],1.3万+
348,43139484141,['1048.00'],1.3万+
349,100006345576,['399.00'],1.2万+
350,28640992709,['439.00'],1.3万+
351,100000481313,['13198.00'],1.2万+
352,100000080103,['179.00'],1.2万+
353,31984967247,['1299.00'],1.2万+
354,100005477573,['1258.00'],1.2万+
355,100004845601,['1799.00'],1.2万+
356,100004472578,['6887.00'],1.2万+
357,45850490644,['579.00'],1.2万+
358,44125207975,['3688.00'],1.2万+
359,100009759746,['6199.00'],1.2万+
360,7435202,['3749.00'],1.2万+
361,100009292486,['3199.00'],1.2万+
362,100003487505,['168.00'],1.2万+
363,100000766331,['199.00'],1.2万+
364,43294662407,['1249.00'],1.2万+
365,100006564972,['139.00'],1.2万+
366,39167157921,['1939.00'],1.2万+
367,57004994625,['3388.00'],1.2万+
368,100009759756,['1199.00'],1.2万+
369,33273233672,['1018.00'],1.1万+
370,27292874426,['188.00'],1.1万+
371,100005338563,['1598.00'],1.1万+
372,100008037472,['1598.00'],1.1万+
373,43757723071,['769.00'],1.1万+
374,62604919965,['4898.00'],1.1万+
375,11267240065,['368.00'],1.1万+
376,12994519425,['158.00'],1.1万+
377,100001075211,['269.00'],1.1万+
378,15232845904,['129.00'],1.1万+
379,8717362,['159.00'],1.1万+
380,53921039284,['809.60'],1.2万+
381,100006155166,['399.00'],1.1万+
382,100005135335,['119.00'],1.1万+
383,100004706504,['599.00'],1.1万+
384,26258743639,['228.00'],1.1万+
385,50074585244,['2499.00'],1.1万+
386,100005162048,['269.00'],1.1万+
387,10666474047,['2688.00'],1.1万+
388,33278500565,['1299.00'],1.1万+
389,100009173626,['1699.00'],1.1万+
390,100005413821,['3799.00'],1.1万+
391,34656638512,['2429.00'],1万+
392,50384986932,['2499.00'],1万+
393,100006222854,['1199.00'],1.2万+
394,43616090726,['769.00'],1万+
395,38918603836,['99.00'],1万+
396,56739487076,['5188.00'],1万+
397,41754761478,['749.00'],1万+
398,33277169974,['1018.00'],1万+
399,100004472572,['4937.00'],1万+
400,100006166826,['99.00'],1万+
401,21860483950,['7099.00'],1万+
402,54532810257,['119.00'],1万+
403,57800388970,['5648.00'],1万+
404,47688874442,['2199.00'],1万+
405,44159189554,['2799.00'],1万+
406,46449080763,['4299.00'],1万+
407,47694908045,['2499.00'],1万+
408,24440374758,['99.00'],9900+
409,100001768425,['119.00'],1万+
410,42663945062,['1238.00'],1万+
411,100008531872,['1599.00'],1万+
412,100000384321,['1249.00'],1万+
413,100004472586,['5987.00'],9800+
414,57008874053,['1199.00'],9600+
415,27226747742,['1199.00'],9700+
416,40468792100,['699.00'],9700+
417,29922005318,['1199.00'],9700+
418,56685429502,['959.00'],9600+
419,51446629929,['1799.00'],9700+
420,6161914,['209.00'],9600+
421,37348371908,['876.00'],9600+
422,100005158161,['1299.00'],1万+
423,8484451,['899.00'],9400+
424,61384807874,['1999.00'],9300+
425,48573275217,['2559.00'],9500+
426,44946742970,['999.80'],9400+
427,50553927840,['1999.00'],9300+
428,100002539260,['279.00'],9300+
429,35296142476,['158.00'],9100+
430,100002399528,['119.00'],9200+
431,10673889493,['3528.00'],9100+
432,33278478728,['1018.00'],9100+
433,56606115320,['6858.00'],9100+
434,6035574,['139.00'],9200+
435,6020635,['149.00'],9100+
436,100004472610,['6887.00'],9000+
437,100005476701,['6288.00'],9000+
438,57081732772,['1199.00'],9000+
439,40467128408,['699.00'],9000+
440,40144008008,['699.00'],9000+
441,32943442155,['4898.00'],9000+
442,26594477376,['1299.00'],9000+
443,56648702661,['5658.00'],9200+
444,1144627862,['99.00'],8900+
445,17968350354,['169.00'],8800+
446,100006001491,['4298.00'],9500+
447,14867612545,['139.00'],8700+
448,44125750190,['4488.00'],8800+
449,100004950071,['5299.00'],8900+
450,16640326003,['139.00'],8500+
451,100005792798,['779.00'],8600+
452,59410262680,['1998.00'],8600+
453,40435356558,['1928.00'],8600+
454,100005745782,['1399.00'],8600+
455,44127885277,['4488.00'],8500+
456,43769837880,['3688.00'],8400+
457,100001768501,['159.00'],8400+
458,31627316952,['79.00'],8400+
459,34531993977,['699.00'],8400+
460,43297794765,['1168.00'],8500+
461,51019119919,['2499.00'],8400+
462,39286052442,['818.00'],8200+
463,100008037474,['1598.00'],8100+
464,57100444489,['686.00'],8600+
465,51119907174,['418.00'],8100+
466,60171303661,['2999.00'],8100+
467,26130378340,['119.00'],8000+
468,34871707227,['875.00'],8000+
469,45492101203,['1009.00'],8100+
470,100003837718,['999.00'],8200+
471,54306684775,['749.00'],7800+
472,44943583778,['999.00'],7900+
473,10323597683,['178.00'],7800+
474,33277164393,['999.00'],7700+
475,26720607794,['1188.00'],7700+
476,30988216523,['1198.00'],7600+
477,54069288164,['69.00'],7600+
478,59080455595,['5699.00'],7600+
479,27458443487,['68.00'],7600+
480,100010547822,['2199.00'],1万+
481,56647206430,['5678.00'],7900+
482,60378912086,['1799.00'],7500+
483,44037826021,['769.00'],7500+
484,53138611298,['1099.00'],7500+
485,20176890446,['1599.00'],7500+
486,40854489483,['584.00'],7500+
487,57527445546,['1799.00'],7900+
488,30794081171,['139.00'],7400+
489,59673467085,['1999.00'],7800+
490,46165085517,['3999.00'],7400+
491,17462145865,['569.00'],7200+
492,37364777942,['999.00'],7200+
493,45483312639,['758.00'],7200+
494,7649465,['599.00'],7200+
495,35501118481,['438.90'],7200+
496,55231965959,['99.00'],7100+
497,48824458687,['2199.00'],7100+
498,48895966123,['2799.00'],7100+
499,44242885678,['2799.00'],7100+
500,51530717443,['99.00'],7200+
501,45399428385,['3199.00'],7100+
502,100000084915,['169.00'],7000+
503,32777483527,['199.00'],7000+
504,56649697467,['5189.00'],7000+
505,34009119653,['849.00'],6900+
506,43216397036,['1299.00'],6900+
507,31942713664,['1219.00'],6900+
508,6035572,['139.00'],7000+
509,57009255259,['1078.00'],6800+
510,100002498858,['129.00'],1.2万+
511,50636223699,['1999.00'],6800+
512,34641453792,['4599.00'],6700+
513,52691431048,['539.00'],6800+
514,40294783703,['145.00'],6700+
515,40851580302,['583.00'],6700+
516,100002143689,['79.00'],6700+
517,27662064449,['4650.00'],6600+
518,53143335201,['1799.00'],6700+
519,54916655720,['885.00'],6600+
520,33725617047,['5488.00'],6500+
521,100005304827,['699.00'],6700+
522,51847960886,['508.00'],6700+
523,56646598083,['5859.00'],6500+
524,30759784900,['178.00'],6400+
525,44105841325,['2788.00'],6400+
526,51594073012,['1099.00'],6500+
527,53140796935,['1349.00'],6400+
528,100005158409,['3499.00'],6700+
529,59018340626,['499.00'],6400+
530,100003102030,['349.00'],6400+
531,100010802032,['4098.00'],6900+
532,46174471503,['1799.00'],6300+
533,100009506486,['1799.00'],6300+
534,39849180473,['1099.00'],6200+
535,51017743879,['1999.00'],6400+
536,100010421242,['1799.00'],6300+
537,100006074435,['299.00'],6200+
538,53894315596,['129.00'],6200+
539,48397681993,['299.00'],6200+
540,100005172329,['2899.00'],6200+
541,56798884028,['968.00'],6100+
542,56230085114,['808.00'],7200+
543,34487179057,['999.00'],6100+
544,100006785474,['1598.00'],6200+
545,100006166830,['99.00'],6200+
546,100009558196,['499.00'],6000+
547,56247927005,['1669.00'],6100+
548,54287898274,['869.00'],6000+
549,100005787920,['168.00'],6100+
550,53365195617,['1799.00'],6000+
551,32781260497,['199.00'],5900+
552,44126603482,['3688.00'],5900+
553,17534280259,['4999.00'],5900+
554,100006093101,['1099.00'],6300+
555,37299954508,['1198.00'],5900+
556,100001768391,['119.00'],5900+
557,100004881069,['293.00'],1.2万+
558,39890462630,['1799.00'],5800+
559,38362141571,['168.00'],5800+
560,100009122944,['2899.00'],5800+
561,51533719234,['55.00'],5800+
562,46716584320,['949.00'],5800+
563,56156630761,['3545.00'],5800+
564,25593752573,['189.00'],5800+
565,29511252688,['1149.00'],5700+
566,44569312557,['599.00'],5700+
567,100009135370,['209.00'],5700+
568,34640640654,['2545.00'],5700+
569,36916831182,['429.00'],5700+
570,31347357239,['1568.00'],5700+
571,49097184577,['369.00'],5700+
572,37607675437,['198.00'],5700+
573,42702130095,['1199.00'],5700+
574,33914219907,['49.00'],5700+
575,55079550625,['1356.00'],5800+
576,100004542250,['199.00'],5600+
577,57004161080,['399.00'],5600+
578,100005511289,['2698.00'],5700+
579,34814213360,['4599.00'],5600+
580,50639010321,['1989.00'],5500+
581,100005755993,['3298.00'],6900+
582,46310540571,['899.00'],5500+
583,100008426582,['949.00'],5500+
584,100010402144,['7899.00'],5500+
585,41084018484,['829.00'],5400+
586,27697515767,['149.00'],5400+
587,27663664990,['99.00'],5300+
588,34692028899,['3599.00'],5300+
589,58800408212,['3199.00'],5400+
590,38886901684,['418.00'],5300+
591,51927841147,['1099.00'],5300+
592,60778985698,['4999.00'],5400+
593,34669670291,['4599.00'],5200+
594,60044399927,['1199.00'],5200+
595,60643173806,['4999.00'],5300+
596,44546425380,['299.00'],5200+
597,25670915378,['89.00'],5200+
598,100005585708,['158.00'],5200+
599,100004286349,['5669.00'],5300+
600,56759005117,['1698.00'],5300+
601,32968958069,['4359.00'],5100+
602,56801944409,['535.00'],5300+
603,19498980942,['108.00'],5100+
604,1466278168,['1099.00'],5100+
605,34273530459,['1399.00'],5100+
606,55674461811,['10299.00'],5200+
607,54346167886,['1018.00'],5000+
608,10632192954,['169.00'],5000+
609,100003102026,['299.00'],5000+
610,100010426468,['2598.00'],5900+
611,45545111915,['3688.00'],5000+
612,52588010239,['1099.00'],5000+
613,100006058066,['499.00'],4900+
614,61226688110,['799.00'],4900+
615,44142413906,['4488.00'],4900+
616,100010949248,['649.00'],4900+
617,14155000956,['2299.00'],4900+
618,43691509723,['2599.00'],4900+
619,34415503629,['2399.00'],4900+
620,33683386972,['2299.00'],4900+
621,44942466864,['999.00'],4900+
622,100005274306,['3699.00'],4800+
623,57520292034,['1799.00'],5100+
624,44126652221,['3688.00'],4800+
625,43734948548,['1198.00'],5000+
626,50691966951,['2499.00'],4900+
627,26622663085,['1858.00'],4700+
628,100005350467,['1799.00'],4700+
629,100004472574,['4937.00'],4700+
630,100006567258,['2499.00'],4700+
631,30542239569,['459.00'],4700+
632,38237578599,['699.00'],4600+
633,100001075215,['269.00'],4600+
634,27851484160,['299.00'],4600+
635,55741287052,['1458.00'],4900+
636,25039444418,['668.00'],4600+
637,100009762112,['1199.00'],4800+
638,30345370574,['1449.00'],4700+
639,62469029650,['6899.00'],4500+
640,53176208201,['1799.80'],4600+
641,23182571574,['128.00'],4500+
642,31798589194,['699.00'],4500+
643,100002498872,['159.00'],1.2万+
644,26040247419,['219.00'],4500+
645,58145338297,['2489.00'],4600+
646,11917887400,['129.90'],4400+
647,38650751431,['999.00'],4500+
648,36016855975,['1848.00'],4500+
649,11532356728,['119.00'],4400+
650,100010237238,['799.00'],4500+
651,55781974769,['1699.00'],4500+
652,56637145208,['3498.00'],4500+
653,57131801715,['4799.00'],4400+
654,51081717624,['728.00'],4300+
655,50307431258,['722.00'],4300+
656,44559473186,['99.00'],4300+
657,60778210402,['6899.00'],4300+
658,10662685942,['375.00'],4300+
659,34642781314,['3199.00'],4300+
660,100004562551,['158.00'],3100+
661,51603436554,['2399.00'],4300+
662,27142072448,['169.00'],4200+
663,100002131962,['199.00'],4200+
664,100005221935,['899.00'],4400+
665,24220674376,['959.00'],4200+
666,56902393019,['5678.00'],4300+
667,100009292484,['3199.00'],4300+
668,29809363973,['129.00'],4200+
669,12966278313,['279.00'],4200+
670,34378007794,['299.00'],4200+
671,25867475583,['299.00'],4200+
672,11532249368,['89.00'],4200+
673,57003856982,['939.00'],4200+
674,41386209572,['849.00'],4100+
675,12172199456,['119.00'],4100+
676,30755896885,['暂无报价'],4100+
677,58365527435,['1158.00'],4200+
678,55808650513,['1158.00'],4200+
679,56630299340,['1298.00'],4300+
680,54897011174,['2698.00'],4100+
681,59195950981,['99.00'],4100+
682,100006589342,['99.00'],3.4万+
683,100005442207,['1298.00'],4400+
684,100000982018,['9999.00'],4100+
685,45033256217,['2299.80'],4100+
686,47003846200,['1199.00'],4000+
687,100010421214,['1298.00'],4300+
688,10492339278,['129.00'],4000+
689,30725321286,['135.00'],4000+
690,27183940241,['368.00'],4000+
691,57842210104,['2999.00'],4100+
692,44098076278,['1898.00'],4000+
693,100007318504,['369.00'],4000+
694,43192351582,['499.00'],4000+
695,34240993733,['739.00'],4000+
696,57089585503,['2499.00'],4100+
697,32480846400,['888.00'],3900+
698,27386342750,['98.00'],3900+
699,35145301785,['298.00'],3900+
700,47024721480,['758.00'],3900+
701,43699365652,['299.00'],3900+
702,100004854354,['1699.00'],3900+
703,54279052699,['722.00'],3900+
704,52831889230,['2099.00'],3900+
705,16603632555,['3459.00'],3900+
706,55123496343,['798.00'],4000+
707,53207174362,['58.00'],3900+
708,55976522875,['1399.00'],3800+
709,46054133208,['838.00'],3800+
710,32953071924,['1799.00'],3800+
711,47669787077,['2499.00'],3800+
712,100008180934,['599.00'],3800+
713,26251804842,['1799.00'],3800+
714,31943707636,['99.00'],3700+
715,53347166559,['2099.00'],3800+
716,31512956008,['728.00'],3700+
717,34660516013,['2499.00'],3800+
718,40687171530,['1006.00'],3700+
719,44149919977,['3678.00'],3700+
720,100004288017,['99.00'],3800+
721,30751168969,['1248.00'],3700+
722,48973885083,['3298.00'],3700+
723,55148847235,['4899.00'],3700+
724,25930447497,['1298.00'],3600+
725,52046893655,['498.00'],3700+
726,44126513764,['1065.00'],3600+
727,27433871206,['149.00'],3600+
728,29506837380,['498.00'],3600+
729,56610490589,['3199.00'],3600+
730,100008602928,['489.00'],3700+
731,54221596339,['399.00'],3600+
732,57281472226,['799.00'],3700+
733,54331938653,['299.00'],3600+
734,53143766628,['1809.00'],3600+
735,39546576695,['178.00'],3500+
736,29921412414,['169.00'],3500+
737,56759611820,['3798.00'],3700+
738,26969736866,['659.00'],3500+
739,56522479917,['579.00'],3500+
740,40776684811,['609.00'],3600+
741,59725365523,['6909.00'],3700+
742,57049421972,['1209.00'],3500+
743,48834016265,['475.00'],3500+
744,57269666815,['899.00'],3500+
745,44168135089,['999.00'],3600+
746,57521830334,['2999.00'],3600+
747,34148682554,['929.00'],3500+
748,57540707753,['1799.00'],3500+
749,34805171927,['436.00'],3500+
750,27501425101,['399.00'],3500+
751,100004254315,['599.00'],3500+
752,37281035313,['859.80'],3500+
753,100006022943,['749.00'],3500+
754,12801366967,['549.00'],3400+
755,12079177347,['2558.00'],3500+
756,51809955148,['509.00'],3600+
757,30894434258,['188.00'],3400+
758,43613856175,['1058.00'],3400+
759,100005417353,['3199.00'],3700+
760,100010949236,['859.00'],3400+
761,33918937962,['299.00'],3400+
762,100006126560,['299.00'],3400+
763,49948717723,['589.00'],3400+
764,56489671950,['1838.00'],3400+
765,52365379701,['2599.00'],3400+
766,50328256257,['5088.00'],3400+
767,57748101701,['3538.00'],3500+
768,100008797178,['139.00'],3400+
769,30427734476,['128.00'],3400+
