,battery,year,month,brand,model,weight,CPU model,CPU freq,CPU cores,SIM cards,ROM,RAM,screen size,resolution,screen material,front camera,rear camera,rear camera specs,charging port,price,comments
28314929287,3020mAh（典型容量）,2018年,5月,华为（HUAWEI）,畅玩7,约142g（含电池）,,,,其他,,,,,IPS,,,,Micro USB,['409.00'],5.1万+
100004472606,4200mAh（典型值）,2019年,4月,华为（HUAWEI）,,192,麒麟980,2*Cortex-A76 Based 2.6GHz+ 2*Cortex-A76 Based 1.92GHz+ 4*Cortex-A55 1.8GHz,八核,2个,128GB,8GB,6.47英寸,2340×1080,OLED,3200万像素,4个,4000万+2000万+800万像素,Type-C,['5487.00'],5万+
5619586,1000,2018年,以官网信息为准,天语（K-Touch）,T91,109,其他,,,2个,,,2.4英寸,240*320,TFT,,后置单摄,,Micro USB,['169.00'],5万+
6099504,,,,,,,,,,,,,,,,,,,,['258.00'],5万+
100005207373,4000mAh（典型值） 3900mAh（最小值）,2019年,10月,华为（HUAWEI）,荣耀20青春版,约171.5克（含电池） 备注：实际重量依配置、制造工艺、测量方法的不同可能有所差异。,HUAWEI Kirin 710F,,,其他,,,6.3英寸,FHD+ 2400X1080,AMOLED,,后置三摄,,Type-C,['1099.00'],5.4万+
100000481329,以官网信息为准,2018年,9月,Apple,,177,其他,其他,其他,1个,256GB,其他,5.8英寸,2436×1125,OLED,700万像素,2个,双1200万像素,Lightning（iPhone）,['10498.00'],4.8万+
100004472580,4200mAh（典型值）,2019年,4月,华为（HUAWEI）,,192,麒麟980,2*Cortex-A76 Based 2.6GHz+ 2*Cortex-A76 Based 1.92GHz+ 4*Cortex-A55 1.8GHz,八核,2个,256GB,8GB,6.47英寸,2340×1080,OLED,3200万像素,4个,4000万+2000万+800万像素,Type-C,['5987.00'],4.8万+
100000469432,以官网信息为准,2018年,9月,Apple,,177,其他,其他,其他,1个,256GB,其他,5.8英寸,2436×1125,OLED,700万像素,2个,双1200万像素,Lightning（iPhone）,['10498.00'],4.8万+
100004472560,,,,,,,,,,,,,,,,,,,,['4437.00'],4.7万+
6513853,1600,2018年,1月,,E209J,105,其他,,,2个,,,2.31,240*320,其他,,后置单摄,,Micro USB,['139.00'],4.7万+
100003466743,3765,2019年,以官网信息为准,realme,realme X,191,骁龙710,,,2个,,,6.53英寸,2340*1080,AMOLED,,后置双摄,,Type-C,['1499.00'],4.6万+
100010984608,5000mAh（typ）*,2019年,10月,,Redmi 8A,188,骁龙439（SDM439）,,,2个,,,其他英寸,1520*720,其他,,后置单摄,,Type-C,['699.00'],4.7万+
100004363706,3940,2019年,3月,vivo,S1,189.5,MT6771T（P70）,,,2个,,,6.53英寸,2340x1080,IPS,,后置三摄,,Micro USB,['1898.00'],4.5万+
100002624532,1700,2018年,12月,飞利浦（Philips）,E289,158,其他,,,2个,,,2.4英寸,240*320,TFT,,后置单摄,,Micro USB,['338.00'],4.4万+
47847154003,5000,2019年,5月,vivo,Z5x,204.1,,,,2个,,,,,LCD,,,,Micro USB,['1298.00'],4.3万+
49434407773,5000,2019年,5月,vivo,Z5x,204.1,,,,2个,,,,,LCD,,,,Micro USB,['1498.00'],4.3万+
100002092243,2400,2018年,7月,纽曼（Newman）,纽曼R15,22,其他,,,2个,,,2.0英寸,240*320,IPS,,后置单摄,,Micro USB,['198.00'],4.3万+
16580586466,,,,,,,,,,,,,,,,,,,,['4188.00'],4.2万+
100010338198,4500mAh（typ）,2019年,12月,小米（MI）,Redmi K30,208,骁龙730G,,,2个,,,6.67英寸,2400X1080,LCD,,后置四摄,,Type-C,['1699.00'],4.9万+
100001897804,4230mAh（典型值）,2018年,9月,OPPO,,168g,SDM450B,1.8GHz,八核,2个,64GB,3GB,6.2英寸,其他,TFT,800万像素,2个,1300万+200万像素,Micro USB,['1349.00'],4.1万+
100010984604,4500mAh（typ）,2019年,8月,,Redmi Note8 Pro,199.8,Helio G90T,,,2个,,,6.53英寸,2340*1080 FHD+,其他,,后置四摄,,Type-C,['1399.00'],4.2万+
100010984602,4500mAh（typ）,2019年,8月,,Redmi Note8 Pro,199.8,Helio G90T,,,2个,,,6.53英寸,2340*1080 FHD+,其他,,后置四摄,,Type-C,['1399.00'],4.2万+
5534017,,,,,,,,,,,,,,,,,,,,['149.00'],4万+
100004472602,,,,,,,,,,,,,,,,,,,,['5487.00'],4.1万+
55666912716,以官网信息为准,2019年,9月,Apple,iPhone 11,194,,,,2个,,,,,其他,,,,Lightning（iPhone）,['5799.00'],4.1万+
4526053,1400,2019年,以官网信息为准,天语（K-Touch）,天语,100,其他,,,2个,,,2.4英寸,240*320,TFT,,后置单摄,,Micro USB,['99.00'],4万+
100000856861,,,,,,,,,,,,,,,,,,,,['2399.00'],4万+
32943301525,,,,,,,,,,,,,,,,,,,,['4878.00'],4万+
100003982266,4000,2019年,3月,魅族（MEIZU）,魅族 Note9,169.7,高通骁龙 675 ,,,2个,,,6.2英寸,2244 x 1080,LCD,,后置双摄,,Type-C,['1199.00'],3.9万+
100003599639,3400（典型值）,2019年,6月,华为（HUAWEI）,华为麦芒 8,约160g；备注：实际重量依配置、制造工艺、测量方法的不同可能有所差异。,Hisilicon Kirin 710*（*因使用多种封装工艺，Hisilicon Kirin 710处理器系列包含Kirin 710和Kirin 710F，功能参数一致),,,2个,,,6.21英寸,2340*1080,TFT LCD（IPS）,,后置三摄,,Micro USB,['1499.00'],3.9万+
100000481327,,,,,,,,,,,,,,,,,,,,['10498.00'],3.9万+
100000230600,1300,2018年,9月,飞利浦（Philips）,E256S,120,MT6261D,,,2个,,,2.4英寸,240*320,TFT,,后置单摄,,Micro USB,['279.00'],3.9万+
100009963216,4200mAh（典型值） 备注：电池额定容量为4100mAh,2019年,9月,华为（HUAWEI）,HUAWEI Mate 30,196克（含电池） 备注：实际重量依配置、制造工艺、测量方法的不同可能有所差异。,麒麟990,,,2个,,,6.62英寸 备注：显示屏采用圆角设计，按照标准矩形测量时，屏幕的对角线长度是6.62英寸（实际可视区域略小）,FHD+ 2340×1080 像素 （备注：该分辨率对应标准矩形，实际屏幕有效像素略少。）,OLED,,后置三摄,,Type-C,['4299.00'],3.9万+
100003784331,3500mAh（典型值）,2019年,6月,华为（HUAWEI）,nova 5,约171克（含电池）,HUAWEI Kirin 810（麒麟810）,,,2个,,,6.39英寸,FHD+  2340 x 1080 像素（备注：该分辨率对应标准矩形，实际屏幕采用圆角和珍珠屏设计，有效像素略少。）,OLED,,后置四摄,,Type-C,['2599.00'],3.8万+
46097761138,,,,,,,,,,,,,,,,,,,,['1799.00'],3.8万+
100007540208,4500,2019年,7月,vivo,Z5,187,骁龙712,,,2个,,,6.38英寸,2340x1080,AMOLED,,后置三摄,,Type-C,['1998.00'],3.8万+
100006092215,,,,,,,,,,,,,,,,,,,,['1199.00'],3.8万+
6035594,2080,2019年,11月,其他,C5,131,其他,,,2个,,,2.4英寸,其他,其他,,其他,,其它接口,['99.00'],3.6万+
6009104,,,,,,,,,,,,,,,,,,,,['199.00'],3.5万+
100005088618,4065mAh（典型值）（额定值3975mAh）,2019年,4月,OPPO,OPPO Reno 10倍变焦版,约210g,骁龙855,,,2个,,,6.6英寸,2340*1080,AMOLED,,后置三摄,,Type-C,['3699.00'],3.5万+
19580485046,1450,2017年,11月,飞利浦（Philips）,飞利浦 E183A,105,,,,2个,,,,,TFT,,,,Micro USB,['158.00'],3.5万+
100007765494,3600,2019年,8月,魅族（MEIZU）,魅族16s Pro,166,骁龙855plus,,,2个,,,6.2英寸,2232×1080,AMOLED,,后置三摄,,Type-C,['2989.00'],3.4万+
100006092213,,,,,,,,,,,,,,,,,,,,['1199.00'],3.4万+
100001815309,3300,2018年,12月,联想（lenovo）,联想Z5s,172,骁龙710,,,2个,,,6.3英寸,2340*1080,其他,,后置三摄,,Type-C,['898.00'],3.4万+
57143334652,以官网信息为准,2019年,9月,,iPhone 11,以官网信息为准,,,,2个,,,,,其他,,,,Lightning（iPhone）,['5838.00'],3.3万+
44048919346,2000mAh-2999mAh,2018年,10月,Apple,以官网信息为准,194以官网信息为准,,,,2个,,,,,LCD,,,,Lightning（iPhone）,['4829.00'],3.3万+
100003603159,3000,2019年,6月,,酷玩9,138,6761,,,2个,,,5.71,1520x720,其他,,后置单摄,,Micro USB,['599.00'],3.2万+
100003242113,2000,2019年,3月,天语（K-Touch）,K-Touch S8,125,其他,,,2个,,,2.4英寸,240*320,TFT,,后置单摄,,Micro USB,['279.00'],3.2万+
100005290379,4500,2019年,8月,vivo,iQOO Pro,217,骁龙855plus,,,2个,,,6.41英寸,2340x1080,AMOLED,,后置三摄,,Type-C,['4098.00'],3.8万+
28751842981,,,,,,,,,,,,,,,,,,,,['1499.00'],3.1万+
16580070299,以官网信息为准,2017年,9月,苹果（Apple）,iPhone 8,148 ,,,,1个,,,,,其他,,,,Lightning（iPhone）,['3298.00'],3.1万+
47716923934,3765mAh（典型值）3680mAh（额定值）,2019年,5月,OPPO,OPPO K3,191g,,,,2个,,,,,AMOLED,,,,Type-C,['1799.00'],3.1万+
100007381674,4300mAh（典型值）,2019年,9月,三星（SAMSUNG）,三星 Galaxy Note10+5G 12GB+256GB 莫奈彩 (SM-N9760）,198,骁龙855,,,2个,,,6.8英寸(直角),3040×1440 ,Dynamic AMOLED,,后置四摄,,Type-C,['7999.00'],3.1万+
100010984590,4000mAh（typ）*3900mAh（min）,2019年,8月,,Redmi Note8,190,骁龙665,,,2个,,,6.3英寸,2340*1080 FHD+,其他,,后置四摄,,Type-C,['1099.00'],3万+
100009768866,,,,,,,,,,,,,,,,,,,,['119.00'],3万+
8184520,1050mAh,2018年,7月,飞利浦（Philips）,E162K,83,其他,,,2个,,,1.77英寸,240×320以下,TFT,,后置单摄,,Micro USB,['119.00'],2.9万+
100005805803,4200,2019年,12月,华为（HUAWEI）,nova 6 5G,约212g（含电池）,麒麟990,,,2个,,,6.57英寸,FHD+ 2400 * 1080,LTPS,,后置三摄,,Type-C,['3799.00'],3.4万+
31356761712,1000,2018年,以官网信息为准,,L99S,117.7,,,,2个,,,,,其他,,,,其它接口,['109.00'],2.9万+
100010260254,4100mAh（典型值） 4000mAh（额定值）,2019年,11月,华为（HUAWEI）,荣耀V30PRO,约206克（含电池） 备注：实际重量依配置、制造工艺、测量方法的不同可能有所差异。,HUAWEI Kirin 990 5G(麒麟990 5G),,,2个,,,6.57英寸,FHD+ 2400×1080像素,TFT LCD（IPS）,,后置三摄,,Type-C,['3899.00'],3.2万+
100006092219,4000mAh（typ）*3900mAh（min）,2019年,8月,,Redmi Note8,190,骁龙665,,,2个,,,6.3英寸,2340*1080 FHD+,其他,,后置四摄,,Type-C,['1099.00'],2.8万+
100004418727,3915mAh （额定值）4000mAh（典型值）,2019年,9月,OPPO,Reno2,约189g,骁龙730G,,,2个,,,6.5英寸,2400*1080,AMOLED,,后置四摄,,Type-C,['2999.00'],2.9万+
28502299809,,,,,,,,,,,,,,,,,,,,['418.00'],2.8万+
100000695447,1300,2018年,9月,飞利浦（Philips）,E259S,160,其他,,,2个,,,2.8英寸,240*320,TFT,,后置单摄,,Micro USB,['288.00'],2.8万+
100010984580,4000mAh（typ）*3900mAh（min）,2019年,8月,,Redmi Note8,190,骁龙665,,,2个,,,6.3英寸,2340*1080 FHD+,其他,,后置四摄,,Type-C,['1099.00'],2.8万+
100005379135,5260mAh(typ) / 5170mAh(min),2019年,11月,小米（MI）,小米CC9 Pro,208g,骁龙730G,,,2个,,,6.47英寸,2340X1080,OLED,,后置五摄,,Type-C,['2799.00'],3万+
100003598763,4000mAh,2019年,6月,魅族（MEIZU）,魅族16Xs,165,骁龙675,,,2个,,,6.2英寸全面屏,2232 x 1080 ,OLED,,后置三摄,,Type-C,['1499.00'],2.8万+
100001860763,1050,2018年,以官网信息为准,飞利浦（Philips）,飞利浦（Philips）E218L,120,其他,,,2个,,,2.4英寸,240×320,TFT,,后置单摄,,Mini USB,['279.00'],2.8万+
29044581674,3020以官网信息为准,2018年,5月,华为（HUAWEI）,荣耀畅玩7,142以官网信息为准,,,,2个,,,,,其他,,,,Micro USB,['409.00'],2.7万+
20278459456,1200,2017年,以官网信息为准,飞利浦（Philips）,,130,其他,,,2个,其他,其他,2.4英寸,596118,TFT,,,,Micro USB,['198.00'],2.7万+
11049830052,1200,2016年,10月,索爱,Z8 电信老人机 翻盖老人手机  大屏幕功能机 超,200,其他,,,1个,,,2.8英寸,596120,其他,,无后置摄像头,,其它接口,['279.00'],2.7万+
100004472570,3650mAh（典型值）备注：电池额定容量为 3550mAh,2019年,4月,华为（HUAWEI）,,165,麒麟980,2*Cortex-A76 Based 2.6GHz+ 2*Cortex-A76 Based 1.92GHz+ 4*Cortex-A55 Based 1.8GHz,八核,2个,256GB,8GB,6.1英寸,2340*1080,OLED,3200万像素,3个,4000+1600+800万像素,Type-C,['4937.00'],2.7万+
100009759774,,,,,,,,,,,,,,,,,,,,['4488.00'],2.7万+
100007698328,4000mAh（典型值）,2019年,7月,华为（HUAWEI）,荣耀9X PRO,206g 备注：实际重量依配置、制造工艺、测量方法的不同可能有所差异。,Hisilicon Kirin 810,,,其他,,,6.59英寸,1080*2340,LTPS,,后置三摄,,Type-C,['2199.00'],2.7万+
16579783384,以官网信息为准,2017年,9月,苹果（Apple）,iphone 8,148,,,,1个,,,,,其他,,,,Lightning（iPhone）,['3328.00'],2.6万+
62556059198,4000,2019年,5月,小米（MI）,Redmi 7A,165,骁龙439（SDM439）,,,2个,,,5.45英寸,*,LCD,,后置单摄,,Micro USB,['540.00'],2.6万+
100010260230,4200mAh（典型值） 4100mAh（额定值）,2019年,11月,华为（HUAWEI）,荣耀V30,约213克（含电池） 备注：实际重量依配置、制造工艺、测量方法的不同可能有所差异。,HUAWEI Kirin 990 (麒麟990),,,2个,,,6.57英寸,FHD+ 2400×1080像素,TFT LCD（IPS）,,后置三摄,,Type-C,['3299.00'],2.8万+
5237558,3000,2017年,6月,,守护宝 F5,161.8,MT6737,,,2个,,,5.5英寸,1280*720,TFT,,后置单摄,,Type-C,['499.00'],2.5万+
4595955,,,,,,,,,,,,,,,,,,,,['1747.00'],2.5万+
7437382,,,,,,,,,,,,,,,,,,,,['299.00'],2.5万+
31868566477,3750mAh（典型值）,2018年,9月,华为（HUAWEI）,荣耀8X,约175g,,,,2个,,,,,IPS,,,,Micro USB,['939.00'],2.4万+
100009081548,5000mAh（typ）*,2019年,10月,,Redmi 8,190,骁龙439（SDM439）,,,2个,,,6.22英寸,1520*720 HD+,其他,,后置双摄,,Type-C,['799.00'],2.6万+
100009177390,,,,,,,,,,,,,,,,,,,,['1199.00'],2.6万+
100009236032,1700,2019年,10月,天语（K-Touch）,天语V9C,143,其他,,,1个,,,2.4英寸,320x240,TFT,,后置单摄,,Micro USB,['239.00'],2.4万+
100004839783,4000,2019年,9月,realme,realme X2,182,骁龙730G,,,2个,,,6.4英寸,1080×2340,AMOLED,,后置四摄,,Type-C,['1899.00'],2.4万+
100005312743,4000,2019年,9月,realme,realme X2,182,骁龙730G,,,2个,,,6.4英寸,1080×2340,AMOLED,,后置四摄,,Type-C,['1998.00'],2.4万+
6598139,,,,,,,,,,,,,,,,,,,,['149.00'],2.4万+
100009349612,,,,,,,,,,,,,,,,,,,,['159.00'],4100+
100003138763,4000mAh,2019年,4月,联想（lenovo）,联想Z6 Pro,185,骁龙855,,,2个,,,6.39 英寸,2340*1080,OLED,,后置四摄,,Type-C,['1899.00'],2.4万+
16234690598,800,2016年,以官网信息为准,,EN8,109,其他,,,2个,,,2.4英寸,240×320,其他,,后置单摄,,Micro USB,['89.00'],2.3万+
100004850586,800,2019年,3月,中兴（ZTE）,ZTE K1,65,其他,,,1个,,,1.8英寸,128×160,TFT,,后置单摄,,Micro USB,['99.00'],2.3万+
100002968149,1600,2019年,4月,飞利浦（Philips）,E279,105,其他,,,2个,,,2.4英寸,240*320,TFT,,后置单摄,,Micro USB,['149.00'],2.3万+
100003291843,,,,,,,,,,,,,,,,,,,,['228.00'],2.3万+
100002755653,4000,2018年,8月,,L9,198,其他,,,2个,,,2.4英寸,240*320,TFT,,后置单摄,,Micro USB,['168.00'],2.3万+
8342914,800,2018年,7月,酷派（Coolpad）,S688,85,其他,,,2个,,,2.4英寸,320*240,TFT,,后置单摄,,Micro USB,['59.00'],2.3万+
100004861771,4000,2019年,9月,realme,realme X2,182,骁龙730G,,,2个,,,6.4英寸,1080×2340,AMOLED,,后置四摄,,Type-C,['1899.00'],2.3万+
100010421226,4000,2019年,9月,realme,realme X2,182,骁龙730G,,,其他,,,6.4英寸,1080×2340,AMOLED,,后置四摄,,Type-C,['1998.00'],2.3万+
3243456,1000,2017年,5月,,CV19,88,其他,,,1个,,,2.4英寸,240*320,其他,,后置单摄,,Micro USB,['229.00'],2.2万+
100010402146,4200mAh（典型值） 备注：电池额定容量为4100mAh,2019年,11月,,HUAWEI Mate 30 5G,196克（含电池） 备注：实际重量依配置、制造工艺、测量方法的不同可能有所差异。,麒麟990,,,2个,,,6.62英寸 备注：显示屏采用圆角设计，按照标准矩形测量时，屏幕的对角线长度是6.62英寸（实际可视区域略小）,FHD+ 2340×1080 像素 （备注：该分辨率对应标准矩形，实际屏幕有效像素略少。）,OLED,,后置三摄,,Type-C,['5499.00'],2.2万+
100009165106,5000,2019年,10月,vivo,U3,193,骁龙675,,,2个,,,6.53英寸,2340x1080,TFT,,后置三摄,,Micro USB,['1099.00'],2.3万+
57167418584,5000,2019年,9月,vivo,U3x,191.5,骁龙665,,,2个,,,6.35英寸,1544x720,LCD,,后置三摄,,Micro USB,['899.00'],2.2万+
24622881484,2200,2017年,12月,索爱, T3 移动/联通 三防手机 直板老人手机 ,170,,,,2个,,,,,其他,,,,其它接口,['139.00'],2.2万+
40223161444,,,,,,,,,,,,,,,,,,,,['699.00'],2.1万+
32249341318,4230mAh（典型值）,2018年,9月,OPPO,A5,168g,,,,2个,,,,,TFT,,,,Micro USB,['899.00'],2.1万+
42828678309,1480,2019年,3月,多亲（QIN）,多亲Qin 1s+,95,,,,2个,,,,,IPS,,,,Type-C,['399.00'],2.1万+
100007411182,1300,2019年,8月,飞利浦（Philips）,E258C,101,其他,,,1个,,,2.4英寸,240*320,TFT,,后置单摄,,Micro USB,['226.00'],2.1万+
54620925454,4500,2019年,7月,vivo,Z5,187,,,,其他,,,,,AMOLED,,,,其它接口,['1648.00'],2.1万+
56869949438,800,2016年,10月,,诺基亚105,180,,,,2个,,,,,其他,,,,Micro USB,['139.00'],2.1万+
7407136,4000mAh,2018年,7月,联想（lenovo）,联想A5,160,MT6739,,,2个,,,5.45英寸,1440×720,IPS,,后置单摄,,Micro USB,['548.00'],2万+
100009347356,3920mAh （额定值），4000mAh（典型值）,2019年,10月,OPPO,OPPO K5,约182g,骁龙730G,,,2个,,,6.4英寸,2340*1080,AMOLED,,后置四摄,,Type-C,['2169.00'],2.1万+
100007988988,,,,,,,,,,,,,,,,,,,,['4998.00'],2万+
37302116874,,,,,,,,,,,,,,,,,,,,['868.00'],2万+
29445555175,5000,2018年,6月,纽曼（Newman）,V98,200g,,,,3个,,,,,其他,,,,Micro USB,['299.00'],2万+
25722468892,800,2018年,3月,诺亚信（NOAIN）,3310,80,,,,2个,,,,,TFT,,,,Micro USB,['109.00'],2万+
31931188377,3600,2018年,以官网信息为准,,N99,180,,,,2个,,,,,其他,,,,其它接口,['119.00'],2万+
34746463146,,,,,,,,,,,,,,,,,,,,['339.00'],1.9万+
100005205683,4000,2019年,10月,海信（Hisense）,海信A5阅读手机,158,骁龙439（SDM439）,,,1个,,,5.84英寸,1440*720,其他,,后置单摄,,Micro USB,['1199.00'],2万+
100008578480,4085,2019年,10月,,一加7T Pro,206,骁龙855plus,,,2个,,,6.67英寸,3120*1440,AMOLED,,后置三摄,,Type-C,['4599.00'],2万+
28315625180,3020mAh（典型容量）,2018年,5月,华为（HUAWEI）,畅玩7,142,,,,2个,,,,,其他,,,,Micro USB,['409.00'],1.9万+
44076405947,,,,,,,,,,,,,,,,,,,,['4488.00'],1.9万+
40230014021,4230mAh（典型值）,2018年,12月,OPPO,OPPO A5,168g,,,,2个,,,,,TFT,,,,Micro USB,['699.00'],1.9万+
40467502857,4230mAh（典型值）,2018年,9月,OPPO,OPPO A5,168,,,,2个,,,,,TFT,,,,Micro USB,['699.00'],1.9万+
11491676217,4000,2017年,4月,,EN3C,185,其他,,,1个,,,2.4英寸,240×320,TFT,,后置单摄,,Micro USB,['129.00'],1.9万+
56128260981,以官网信息为准,2019年,9月,,iPhone 11,194,,,,2个,,,,,LCD,,,,Lightning（iPhone）,['5668.00'],1.9万+
100008339420,4200mAh（典型值） 备注：电池额定容量为 4100mAh（额定值）,2019年,9月,华为（HUAWEI）,HUAWEI Mate 20 X (5G),约233克（含电池） 温馨提示：实际重量依配置、制造工艺、测量方法的不同可能有所差异。,麒麟980,,,2个,,,7.2英寸,FHD+ 1080x2244 像素,OLED,,后置三摄,,Type-C,['4899.00'],1.9万+
8797292,800,2018年,以官网信息为准,天语（K-Touch）,Q21C,85.2,其他,,,1个,,,1.8英寸,128*160,TFT,,无后置摄像头,,Micro USB,['129.00'],1.9万+
100002852230,3050,2019年,1月,小辣椒,红辣椒7R,202,mt6739,,,2个,,,6.0英寸,1440x720,TFT,,后置双摄,,Micro USB,['459.00'],1.9万+
18022453710,800,2014年,4月,纽曼（Newman）,L66,90,,,,1个,,,,,其他,,,,其它接口,['68.00'],1.9万+
11718064762,,,,,,,,,,,,,,,,,,,,['299.00'],1.8万+
33577099057,1970,2017年,4月,AGM,AGM M2,138,,,,2个,,,,,其他,,,,Micro USB,['299.00'],1.8万+
32942468232,以官网信息为准,2018年,9月,苹果（Apple）,苹果xs max,208 ,,,,2个,,,,,其他,,,,Lightning（iPhone）,['5788.00'],1.8万+
100005223665,4000,2019年,10月,realme,realme X2 Pro,199,骁龙855plus,,,2个,,,6.5英寸,2400×1080,Super Amoled,,后置四摄,,Type-C,['3299.00'],1.9万+
100003258299,3700,2019年,5月,vivo,S1Pro,185,骁龙675,,,2个,,,6.39 英寸,2340x1080,AMOLED,,后置三摄,,Micro USB,['2098.00'],1.8万+
100005208993,,,,,,,,,,,,,,,,,,,,['1999.00'],1.9万+
100005207839,4000,2019年,10月,锤子（smartisan）,坚果Pro3,185,骁龙855plus,,,2个,,,6.39 英寸,2340x1080,AMOLED,,后置四摄,,Type-C,['2599.00'],1.9万+
12834488620,1300,2017年,4月,海尔（Haier）,其他,118,,,,2个,,,,,TFT,,,,Micro USB,['168.00'],1.8万+
42291088113,4000,2018年,12月,华为（HUAWEI）,畅享9,168,,,,2个,,,,,TFT,,,,Micro USB,['805.00'],1.8万+
11728376529,以官网信息为准,2016年,以官网信息为准,苹果（Apple）,iPhone7,138,其他,,,1个,,,4.7英寸,605491,IPS,,后置单摄,,Lightning（iPhone）,['2758.00'],1.8万+
100010880942,,,,,,,,,,,,,,,,,,,,['1097.00'],1.8万+
5239147,3500,2017年,9月,,F666,138,其他,,,2个,,,2.4英寸,240*320,TFT,,后置单摄,,Micro USB,['199.00'],1.7万+
28637462909,800,2017年,8月,诺基亚（NOKIA）,105,70,,,,1个,,,,,其他,,,,Mini USB,['129.00'],1.7万+
4364829,800,2019年,7月,天语（K-Touch）,天语N2老人手机,110,其他,,,2个,,,1.77英寸,240X360,TFT,,后置单摄,,Micro USB,['99.00'],2.7万+
100005156963,,,,,,,,,,,,,,,,,,,,['5029.00'],1.7万+
18669652312,3750mAh（典型值） 3650mAh（额定值）,2018年,9月,华为（HUAWEI）,荣耀8x,约175克（含电池）（备注：以实际为准）,,,,2个,,,,,IPS,,,,Micro USB,['1399.00'],1.7万+
100005253611,4500,2019年,8月,vivo,iQOO Pro,217,骁龙855plus,,,其他,,,6.41英寸,2340x1080,AMOLED,,后置三摄,,Type-C,[],1.9万+
3503484,1000,2016年,5月,,V88,110,其他,,,2个,,,2.4英寸,230*320,其他,,后置单摄,,Micro USB,['258.00'],1.7万+
100002338246,3500,2018年,12月,vivo,NEX双屏版,199.2g,骁龙845（SDM845）,,,2个,,,6.39 英寸,2340×1080,AMOLED,,其他,,Type-C,['3398.00'],1.7万+
34600955827,4000,2018年,10月,华为（HUAWEI）,畅玩8c,167.2g,,,,2个,,,,,IPS,,,,Micro USB,['768.00'],1.7万+
100009759768,3650mAh（典型值）备注：电池额定容量为 3550mAh,2019年,7月,华为（HUAWEI）,P30,165,麒麟980,,,2个,,,6.1英寸,FHD+ 2340*1080,OLED,,后置三摄,,Type-C,['3688.00'],1.7万+
100005297506,,,,,,,,,,,,,,,,,,,,['279.00'],1.6万+
34639201721,4200Amh,2018年,10月,华为（HUAWEI）,华为mate20Pro,约189克（含电池）,,,,2个,,,,,OLED,,,,Type-C,['4589.00'],1.6万+
16579563286,以官网信息为准,2017年,9月,苹果（Apple）,iPhone 8 Plus,202,其他,,,1个,,,5.5英寸,1920 x 1080,其他,,后置双摄,,Lightning（iPhone）,['4228.00'],1.6万+
11297488460,以官网信息为准,2016年,1月,诺基亚（NOKIA）,诺基亚230DS,91.8,,,,2个,,,,,其他,,,,Micro USB,['355.00'],1.6万+
26298974349,,,,,,,,,,,,,,,,,,,,['135.00'],1.6万+
100003313381,3200mAh(典型值),2019年,5月,中兴（ZTE）,中兴ZTE Blade A7,146,Helio P60,,,2个,,,6.088英寸,1560*720,TFT,,后置单摄,,Micro USB,['498.00'],1.6万+
100005244099,3500mAh（典型值）,2019年,6月,华为（HUAWEI）,华为nova 5 Pro,约171克（含电池）,麒麟980,,,2个,,,6.39英寸,FHD+  2340 x 1080 像素（备注：该分辨率对应标准矩形，实际屏幕采用圆角和珍珠屏设计，有效像素略少。）,OLED,,后置四摄,,Type-C,['3199.00'],1.6万+
100010421210,4035,2019年,9月,realme,realme Q,184,骁龙712,,,2个,,,6.3英寸,2340×1080,LTPS,,后置四摄,,Type-C,['1298.00'],1.6万+
100004015285,,,,,,,,,,,,,,,,,,,,['299.00'],1.6万+
62602906391,以官网信息为准,2018年,10月,,苹果,194,其他,,,2个,,,6.1英寸,-,LCD,,后置单摄,,Lightning（iPhone）,['4895.00'],1.6万+
44125313215,3650mAh,2019年,4月,,华为p30,165,,,,2个,,,,,其他,,,,Type-C,['3678.00'],1.6万+
100008350186,800,2019年,7月,天语（K-Touch）,天语N2老人手机,110,其他,,,2个,,,1.8英寸,240X360,TFT,,后置单摄,,Micro USB,['89.00'],6700+
100008037476,,,,,,,,,,,,,,,,,,,,['998.00'],1.5万+
23928557015,1800,2018年,1月,飞利浦（Philips）,飞利浦E212A,135,其他,,,2个,,,2.8英寸,596118,TFT,,后置单摄,,Micro USB,['268.00'],1.5万+
43758662403,3650mAh（典型值）额定容量为 3550mAh,2019年,4月,华为（HUAWEI）,华为P30 手机,165,,,,2个,,,,,OLED,,,,Type-C,['3688.00'],1.5万+
100000384301,2900mAh,2018年,9月,美图（Meitu）,HelloKitty限量版,174.8,骁龙660（AIE）,,,2个,,,5.88英寸,2244×1080,AMOLED,,后置双摄,,Type-C,['1699.00'],1.5万+
100006583708,3500mAh（典型值）,2019年,6月,华为（HUAWEI）,,约171克（含电池）,麒麟980,,,2个,,,6.39英寸,2340*1080,OLED,3200万像素,,4800万+1600万+200万+200万像素,Type-C,['3599.00'],1.5万+
32500882687,,,,,,,,,,,,,,,,,,,,['899.00'],1.5万+
100001686260,3350（典型值）,2018年,11月,联想（lenovo）,联想Z5 Pro,210,骁龙710,,,2个,,,6.39 英寸,2340*1080,Super Amoled,,后置双摄,,Type-C,['1169.00'],1.5万+
56605709689,其他,2018年,10月,Apple,iphoenXR,约194,,,,2个,,,,,LCD,,,,Lightning（iPhone）,['4788.00'],1.5万+
47364741396,4000,2018年,6月,,老人手机,185,,,,2个,,,,,TFT,,,,Micro USB,['268.00'],1.5万+
